"Laikotarpis","Rodiklis","Statinių pagal tipą klasifikatorius (CC) (gyvenamieji pastatai, vieno ir dviejų butų pastatai)","Kambarių skaičius","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2017","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","37"
"2017","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","37"
"2017","Pradėtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","4.9"
"2017","Pradėtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","4.9"
"2017","Baigtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","5.6"
"2017","Baigtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","5.6"
"2017","Baigtų statyti būstų skaičius","","Iš viso pastatytų butų","Elektrėnų sav.","vnt.","37"
"2017","Baigtų statyti būstų skaičius","","1 kambario","Elektrėnų sav.","vnt.",
"2017","Baigtų statyti būstų skaičius","","2 kambarių","Elektrėnų sav.","vnt.",
"2017","Baigtų statyti būstų skaičius","","3 kambarių","Elektrėnų sav.","vnt.","2"
"2017","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","13"
"2017","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","9"
"2017","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","13"
"2016","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","95"
"2016","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","57"
"2016","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","9.5"
"2016","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","7.8"
"2016","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","58"
"2016","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","57"
"2016","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","58"
"2016","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","57"
"2016","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","73"
"2016","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","67"
"2016","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","66"
"2016","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","65"
"2016","Pradėtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","10.6"
"2016","Pradėtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","10.3"
"2016","Baigtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","8.0"
"2016","Baigtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","7.7"
"2016","Baigtų statyti būstų skaičius","","Iš viso pastatytų butų","Elektrėnų sav.","vnt.","57"
"2016","Baigtų statyti būstų skaičius","","1 kambario","Elektrėnų sav.","vnt.","1"
"2016","Baigtų statyti būstų skaičius","","2 kambarių","Elektrėnų sav.","vnt.","2"
"2016","Baigtų statyti būstų skaičius","","3 kambarių","Elektrėnų sav.","vnt.","7"
"2016","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","14"
"2016","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","16"
"2016","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","17"
"2015","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","53"
"2015","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","41"
"2015","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","7.0"
"2015","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","6.5"
"2015","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","41"
"2015","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","40"
"2015","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","41"
"2015","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","40"
"2015","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","43"
"2015","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","43"
"2015","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","41"
"2015","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","41"
